ko_id,initial_num_seqs,num_groups,num_ungrouped,final_num_seqs,description,ec_numbers
K07967,127,12.0,4.0,15,"Beta-1,4-galactosyltransferase 2-like",[]
K00779,137,15.0,4.0,18,"Beta-galactoside alpha-2,6-sialyltransferase 2",[]
K18030,373,34.0,16.0,49,Gluconate 2-dehydrogenase cytochrome c subunit [EC:1.1.99.3],['1.1.99.3']
K00778,149,13.0,20.0,32,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",[]
K18251,10,1.0,10.0,10,"Phthalate 3,4-dioxygenase, alpha subunit",[]
K18253,3,,,3,Ferredoxin,[]
K18252,14,2.0,0.0,2,Hypothetical biphenyl dioxygenase beta subunit,[]
K18254,11,1.0,11.0,11,Ferredoxin reductase,[]
K18255,9,1.0,9.0,9,"3-(Cis-5,6-dihydroxycyclohexa-1, 3-dien-1-yl)propanoate dehydrogenase",[]
K05535,251,25.0,22.0,46,"Alpha-1,2-mannosyltransferase",[]
K02170,997,88.0,90.0,177,Pimeloyl-[acyl-carrier protein] methyl ester esterase,[]
K01132,135,5.0,0.0,5,N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4],['3.1.6.4']
K18256,10,1.0,10.0,10,Ribulose-5-phosphate 4-epimerase-like epimerase or aldolase,[]
K07966,175,15.0,30.0,44,"Beta-1,4-galactosyltransferase [EC:2.4.1.-]",['2.4.1.-']
K13748,232,23.0,14.0,36,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C",[]
K00736,285,25.0,25.0,49,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [EC:2.4.1.143]",['2.4.1.143']
K07968,185,20.0,2.0,21,"Beta-1,4-galactosyltransferase [EC:2.4.1.-]",['2.4.1.-']
K00717,230,21.0,44.0,64,"Alpha-(1,6)-fucosyltransferase-like",[]
K00981,5520,454.0,770.0,1223,Phosphatidate cytidylyltransferase [EC:2.7.7.41],['2.7.7.41']
K21977,161,16.0,22.0,37,Phosphopantothenate--cysteine ligase,[]
K00849,2497,200.0,374.0,573,Galactokinase,[]
K18126,30,2.0,0.0,2,2-keto-3-deoxygalactonate kinase,[]
K04102,260,20.0,32.0,51,"4,5-dihydroxyphthalate decarboxylase",[]
K01231,335,26.0,30.0,55,Alpha-mannosidase [EC:3.2.1.-],['3.2.1.-']
K17226,879,77.0,85.0,161,Thiosulfate oxidation carrier protein SoxY,[]
K05599,62,2.0,0.0,2,"Anthranilate 1,2-dioxygenase",[]
K11311,60,5.0,3.0,7,"Anthranilate 1,2-dioxygenase electron transfer component AntC",[]
K05600,63,3.0,0.0,3,"Toluate 1,2-dioxygenase subunit beta [EC:1.14.12.-]",['1.14.12.-']
K18385,7,1.0,7.0,7,Prenyl transferase,[]
K18386,12,2.0,0.0,2,FAD-dependent monooxygenase subE [EC:1.-.-.-],['1.-.-.-']
K18387,7,1.0,7.0,7,Integral membrane protein,[]
K18249,39,4.0,3.0,6,FAD-dependent pyridine nucleotide-disulfide oxidoreductase,[]
K12309,244,25.0,21.0,45,Beta-galactosidase [EC:3.2.1.23],['3.2.1.23']
K12743,11,2.0,0.0,2,Carrier domain-containing protein,[]
K10852,5,,,5,Acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase 40 kDa form,[]
K18248,71,7.0,5.0,11,Rieske 2Fe-2S domain-containing protein,[]
K12744,4,,,4,Cephalosporin hydroxylase,[]
K04126,12,1.0,12.0,12,Isopenicillin N synthase [EC:1.21.3.1],['1.21.3.1']
K04128,4,,,4,Decarbamoylnovobiocin carbamoyltransferase [EC:2.1.3.12],['2.1.3.12']
K12745,7,1.0,7.0,7,Deacetoxycephalosporin C hydroxylase [EC:1.14.11.26],['1.14.11.26']
K18062,5,,,5,Rhamnosyl O-methyltransferase,[]
K18063,5,,,5,Methyltransferase,[]
K12673,8,1.0,8.0,8,Acetolactate synthase large subunit [EC:2.2.1.6],['2.2.1.6']
K12674,7,1.0,7.0,7,Asparagine synthetase B,[]
K12675,7,1.0,7.0,7,Clavaminate synthase [EC:1.14.11.21],['1.14.11.21']
K12676,7,1.0,7.0,7,Agmatinase [EC:3.5.3.11],['3.5.3.11']
K00738,357,30.0,29.0,58,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B-like",[]
K18242,81,7.0,7.0,13,"Anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]",['1.14.12.1']
K18317,11,1.0,11.0,11,Putative enoyl-CoA hydratase echA8 [EC:4.2.1.17],['4.2.1.17']
K18316,10,1.0,10.0,10,Putative asparagine synthase (Glutamine-hydrolyzing) [EC:6.3.5.4],['6.3.5.4']
K18315,9,1.0,9.0,9,Putative TauD/TfdA family dioxygenase,[]
K03944,105,2.0,0.0,2,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",[]
K01810,5021,402.0,794.0,1195,Glucose-6-phosphate isomerase,[]
K19102,3,,,3,Amino acid adenylation domain protein,[]
K19103,3,,,3,Phenyloxazoline synthase MbtB,[]
K18243,92,8.0,11.0,18,Salicylate-5-hydroxylase small oxygenase component,[]
K19105,2,,,2,Nocardicin C-9' epimerase [EC:5.1.1.14],['5.1.1.14']
K19106,2,,,2,Nocardicin C N-oxygenase [EC:1.14.15.-],['1.14.15.-']
K19104,5,,,5,Methyltransferase family protein,[]
K16849,203,17.0,17.0,33,UxaA family hydrolase,[]
K01137,341,34.0,40.0,73,Sulfatase,[]
K00655,6522,495.0,1001.0,1495,1-acyl-sn-glycerol-3-phosphate acyltransferase,[]
K01922,398,38.0,31.0,68,Phosphopantothenate-cysteine ligase,[]
K01135,398,35.0,44.0,78,Arylsulfatase B-like,[]
K13380,20,2.0,0.0,2,NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.-],['7.1.1.-']
K01057,2932,210.0,308.0,517,6-phosphogluconolactonase [EC:3.1.1.31],['3.1.1.31']
K03878,370,33.0,18.0,50,NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2],['7.1.1.2']
K03879,376,34.0,24.0,57,NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2],['7.1.1.2']
K00737,523,46.0,36.0,81,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",[]
K03884,351,29.0,12.0,40,NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2],['7.1.1.2']
K03880,367,32.0,37.0,68,NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2],['7.1.1.2']
K03882,340,24.0,23.0,46,NADH dehydrogenase subunit 4L,[]
K00130,2555,206.0,305.0,510,Betaine-aldehyde dehydrogenase,[]
K16320,182,16.0,24.0,39,3-phenylpropionate/cinnamic acid dioxygenase small subunit,[]
K19280,36,3.0,0.0,3,CAIB/BAIF family protein,[]
K03881,373,33.0,16.0,48,NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2],['7.1.1.2']
K16319,201,17.0,15.0,31,Rieske 2Fe-2S domain-containing protein,[]
K03936,339,34.0,33.0,66,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",[]
K19281,35,2.0,0.0,2,Citrate lyase beta subunit,[]
K01136,525,45.0,60.0,104,Iduronate 2-sulfatase,[]
K03935,362,35.0,38.0,72,NADH-ubiquinone oxidoreductase 49 kDa subunit-like protein,[]
K01682,1431,105.0,130.0,234,Aconitate hydratase B [EC:4.2.1.3],['4.2.1.3']
K01950,2742,211.0,365.0,575,Glutamine-dependent NAD(+) synthetase [EC:6.3.5.1],['6.3.5.1']
K07151,840,63.0,62.0,124,dolichyl-diphosphooligosaccharide--protein glycotransferase [EC:2.4.99.18],['2.4.99.18']
K02318,176,7.0,0.0,7,Coenzyme A synthase,[]
K03883,384,35.0,49.0,83,NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2],['7.1.1.2']
K02548,2303,187.0,248.0,434,"1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74]",['2.5.1.74']
K03934,418,37.0,41.0,77,"NADH dehydrogenase (Quinone), G subunit",[]
K03938,347,32.0,26.0,57,NADH:ubiquinone oxidoreductase 11.5kD subunit,[]
K01624,4921,362.0,706.0,1067,Fructose-bisphosphate aldolase [EC:4.1.2.13],['4.1.2.13']
K03939,381,41.0,35.0,75,Zinc finger CHCC-type domain-containing protein,[]
K03937,399,41.0,41.0,81,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",[]
K01808,3161,254.0,386.0,639,Sugar phosphate isomerase ywlF [EC:5.3.1.6],['5.3.1.6']
K00177,867,73.0,101.0,173,2-oxoacid:ferredoxin oxidoreductase subunit gamma,[]
K01195,569,56.0,65.0,120,beta-galactosidase [EC:3.2.1.23],['3.2.1.23']
K03941,399,35.0,72.0,106,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",[]
K03940,448,43.0,44.0,86,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",[]
K03942,426,36.0,34.0,69,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [EC:7.1.1.2]",['7.1.1.2']
K00030,1748,135.0,164.0,298,Isocitrate dehydrogenase (NAD(+)) [EC:1.1.1.41],['1.1.1.41']
K01230,956,79.0,131.0,209,"alpha-1,2-Mannosidase [EC:3.2.1.-]",['3.2.1.-']
K01807,3322,260.0,491.0,750,Ribose-5-phosphate isomerase A [EC:5.3.1.6],['5.3.1.6']
K00176,787,67.0,88.0,154,Putative 2-ketovalerate ferredoxin oxidoreductase subunit,[]
K03943,450,40.0,49.0,88,"NADH-ubiquinone oxidoreductase, mitochondrial, putative [EC:1.6.5.3]",['1.6.5.3']
K05581,175,5.0,0.0,5,NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.-],['7.1.1.-']
K05582,198,19.0,3.0,21,NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.-],['7.1.1.-']
K05583,103,13.0,5.0,17,NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.-],['7.1.1.-']
K01649,6192,446.0,831.0,1276,2-isopropylmalate synthase [EC:2.3.3.13],['2.3.3.13']
K01899,502,46.0,60.0,105,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial [EC:6.2.1.4]",['6.2.1.4']
K00278,3150,229.0,500.0,728,L-aspartate oxidase [EC:1.4.3.16],['1.4.3.16']
K05579,195,20.0,14.0,33,NADH-quinone oxidoreductase subunit D [EC:7.1.1.-],['7.1.1.-']
K05572,186,17.0,11.0,27,NADH dehydrogenase subunit 1,[]
K05574,204,18.0,14.0,31,NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.-],['7.1.1.-']
K05580,199,18.0,23.0,40,NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.-],['7.1.1.-']
K05584,113,15.0,4.0,18,NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.-],['7.1.1.-']
K05578,217,19.0,3.0,21,NADH-quinone oxidoreductase subunit J [EC:7.1.1.-],['7.1.1.-']
K05585,116,9.0,9.0,17,NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.-],['7.1.1.-']
K05573,180,20.0,21.0,40,NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.-],['7.1.1.-']
K03947,102,7.0,4.0,10,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,[]
K03945,225,24.0,19.0,42,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,[]
K03951,191,19.0,10.0,28,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,[]
K05576,364,34.0,38.0,71,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic [EC:7.1.1.-]",['7.1.1.-']
K03954,193,12.0,7.0,18,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",[]
K02437,4748,360.0,725.0,1084,Glycine cleavage system H protein,[]
K13995,535,49.0,79.0,127,Isochorismatase family protein,[]
K16850,307,28.0,8.0,35,Altronate dehydratase,[]
K22568,81,7.0,10.0,16,Acc operon protein,[]
K15988,1,,,1,Tylactone synthase starter module and modules 1 & 2,[]
K19312,96,8.0,5.0,12,Acyl-CoA carboxylase subunit beta,[]
K24555,1,,,1,Tylactone synthase module 3,[]
K24556,1,,,1,Tylactone synthase modules 4 & 5,[]
K24557,1,,,1,Tylactone synthase module 6,[]
K24558,1,,,1,Tylactone synthase module 7,[]
K15989,1,,,1,Tylactone mycaminosyltransferase [EC:2.4.1.316],['2.4.1.316']
K15990,1,,,1,Protein TylM3,[]
K15992,1,,,1,Cytochrome P-450,[]
K15993,1,,,1,O-mycaminosyltylonolide 6-deoxyallosyltransferase [EC:2.4.1.317],['2.4.1.317']
K01803,5537,412.0,866.0,1277,Triosephosphate isomerase [EC:5.3.1.1],['5.3.1.1']
K01809,3254,259.0,456.0,714,mannose-6-phosphate isomerase [EC:5.3.1.8],['5.3.1.8']
K04127,199,20.0,15.0,34,Isopenicillin N epimerase [EC:5.1.1.17],['5.1.1.17']
K15994,1,,,1,Demethyllactenocin mycarosyltransferase [EC:2.4.1.318],['2.4.1.318']
K15995,1,,,1,Demethylmacrocin O-methyltransferase [EC:2.1.1.102],['2.1.1.102']
K15991,3,,,3,Cytochrome P-450,[]
K15996,2,,,2,Macrocin-O-methyltransferase,[]
K10817,5,,,5,Type I polyketide synthase,[]
K24563,5,,,5,Type I polyketide synthase,[]
K06134,1262,109.0,145.0,253,"5-demethoxyubiquinone hydroxylase, mitochondrial [EC:1.14.99.60]",['1.14.99.60']
K24564,5,,,5,Megalomicin 6-deoxyerythronolide B synthase 3,[]
K14366,3,,,3,6-deoxyerythronolide B hydroxylase,[]
K14367,3,,,3,6-deoxyerythronolide B TDP-mycarosyl glycosyltransferase,[]
K14368,3,,,3,Glycosyl transferase family 28,[]
K15997,3,,,3,"TDP-4-keto-6-deoxyglucose 3,4-isomerase",[]
K14370,3,,,3,EryK erythromycin C-12 hydroxylase,[]
K16007,1,,,1,"8,8a-deoxyoleandolide synthase 1",[]
K14369,3,,,3,Methyltransferase domain-containing protein,[]
K24566,1,,,1,"Oleandomycin polyketide synthase, modules 5 and 6",[]
K16008,1,,,1,Cytochrome P-450,[]
K16009,1,,,1,Glycosyltransferase,[]
K24565,3,,,3,Type I polyketide synthase,[]
K13320,1,,,1,L-olivosyl-oleandolide 3-O-methyltransferase [EC:2.1.1.239],['2.1.1.239']
K01197,1111,110.0,69.0,178,Hyaluronidase-1-like,[]
K16010,1,,,1,Glycosyltransferase,[]
K16000,1,,,1,"Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2 [EC:2.3.1.239]",['2.3.1.239']
K16001,1,,,1,"Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4 [EC:2.3.1.239]",['2.3.1.239']
K16002,1,,,1,"Narbonolide/10-deoxymethynolide synthase PikA3, module 5 [EC:2.3.1.239]",['2.3.1.239']
K16003,1,,,1,"Narbonolide/10-deoxymethynolide synthase PikA4, module 6 [EC:2.3.1.239]",['2.3.1.239']
K16004,1,,,1,10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277],['2.4.1.277']
K16005,1,,,1,Protein DesVIII,[]
K16006,1,,,1,Cytochrome P450 monooxygenase PikC [EC:1.14.15.33],['1.14.15.33']
K04835,179,16.0,2.0,17,Methylaspartate ammonia-lyase [EC:4.3.1.2],['4.3.1.2']
K19412,123,9.0,0.0,9,L-2-aminoadipate N-acetyltransferase [EC:2.3.1.-],['2.3.1.-']
K01916,2884,233.0,427.0,659,NH(3)-dependent NAD(+) synthetase [EC:6.3.1.5],['6.3.1.5']
K13378,692,60.0,58.0,117,NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.-],['7.1.1.-']
K03956,166,12.0,8.0,19,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,[]
K03948,347,25.0,29.0,53,NDUFA4 mitochondrial complex associated,[]
K03950,347,30.0,45.0,74,RmlC-like jelly roll fold,[]
K03957,109,7.0,1.0,7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,[]
K03946,387,36.0,45.0,80,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,[]
K03949,412,34.0,47.0,80,(wild Malaysian banana) hypothetical protein,[]
K09680,726,55.0,46.0,100,Pantothenate kinase 1 isoform X1,[]
K05575,542,48.0,39.0,86,NAD(P)H-quinone oxidoreductase chain 4 1 [EC:7.1.1.-],['7.1.1.-']
K03953,386,41.0,34.0,74,NmrA-like domain-containing protein,[]
K03952,384,34.0,60.0,93,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,[]
K03958,175,19.0,14.0,32,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial-like",[]
K11352,301,26.0,16.0,41,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,[]
K03960,196,17.0,11.0,27,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,[]
K03967,97,6.0,7.0,12,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",[]
K03961,191,19.0,19.0,37,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",[]
K03962,179,17.0,16.0,32,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,[]
K11353,351,32.0,21.0,52,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,[]
K25801,47,5.0,0.0,5,Os05g0372000 protein,[]
K11351,176,16.0,13.0,28,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",[]
K03959,259,23.0,36.0,58,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,[]
K18860,9,1.0,9.0,9,"Succinate:quinone oxidoreductase, hydrophobic anchor subunit D",[]
K18859,27,3.0,3.0,5,Succinate dehydrogenase subunit D (SdhD),[]
K03964,281,29.0,15.0,43,(Perigord truffle) hypothetical protein,[]
K03182,1976,147.0,203.0,349,Menaquinone biosynthesis decarboxylase,[]
K03968,167,17.0,11.0,27,NADH dehydrogenase [ubiquinone] 1 subunit C2,[]
K03955,591,49.0,67.0,115,Acyl carrier protein,[]
K01598,632,50.0,86.0,135,Flavoprotein domain-containing protein,[]
K00927,5325,413.0,737.0,1149,Phosphoglycerate kinase [EC:2.7.2.3],['2.7.2.3']
K02201,432,32.0,34.0,65,Phosphopantetheine adenylyltransferase [EC:2.7.7.3],['2.7.7.3']
K13543,105,11.0,8.0,18,Uroporphyrinogen-III synthase,[]
K01900,647,55.0,90.0,144,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial [EC:6.2.1.4]",['6.2.1.4']
K01677,665,67.0,57.0,123,"Fe-S type, tartrate/fumarate subfamily hydro-lyase subunit alpha",[]
K05577,796,64.0,87.0,150,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic [EC:7.1.1.-]",['7.1.1.-']
K00568,1890,151.0,226.0,376,Ubiquinone biosynthesis O-methyltransferase [EC:2.1.1.222],['2.1.1.222']
K03966,274,16.0,21.0,36,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,[]
K03965,364,33.0,39.0,71,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,[]
K03963,381,37.0,47.0,83,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,[]
K00237,336,33.0,65.0,97,Succinate dehydrogenase [ubiquinone] cytochrome b small subunit,[]
K00236,407,37.0,23.0,59,"Succinate dehydrogenase subunit 3-2, mitochondrial",[]
K00410,182,14.0,18.0,31,Cytochrome b,[]
K01625,3494,269.0,523.0,791,2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14],['4.1.2.14']
K03781,5294,384.0,802.0,1185,Catalase,[]
K14249,1,,,1,OxyK,[]
K01678,648,62.0,65.0,126,"Hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta region",[]
K19268,255,24.0,12.0,35,Methylaspartate mutase,[]
K15884,4,,,4,Actinorhodin polyketide synthase,[]
K15885,18,3.0,1.0,3,Polyketide cyclase/dehydrase,[]
K01846,276,27.0,37.0,63,Putative Glutamate mutase subunit E,[]
K15886,1,,,1,Multifunctional cyclase-dehydratase-3-O-methyl transferase TcmN,[]
